Taste,Count
Acidic,14
Agricole,160
Alcoholic,538
Allspice,110
Almond,71
Anise,187
Apple,119
Apricot,86
Armagnac,12
Astringent,62
Bacon,22
Baked apple,17
Baking spices,43
Balanced,164
Banana,497
Barrel,533
Beer,5
Berries,53
BicycleTube,19
Biscuits,11
Bite,11
Bitter,242
Bitter orange,38
Black pepper,149
Black tea,52
Blackberry,16
Bourbon,51
Brioche,7
Brown,23
Brown sugar,169
Burn,23
Burnt,68
Burnt sugar,204
Butterscotch,59
Buttery,68
Calvados,14
Candied,81
Cappuccino,30
Caramel,1159
Caramelized,191
Cardamom,24
Cedar,23
Cereal,6
Chamomile,10
Charred,34
Chemical,16
Cherry,142
Cherry wood,13
Chili,16
Chocolate,430
Cigar,16
Cinnamon,257
Citrus,455
Clove,84
Cocoa,207
Coconut,321
Coffee,301
Cognac,51
Cola,19
Complex,237
Concentrated,36
Confections,27
CookieDough,10
Cream,16
Cream toffee,47
Creamy,150
Creme brulee,44
Crisp,14
Currants,10
Custard,8
Dark,28
Dark chocolate,462
Dates,17
Delicious,60
Demerara sugar,62
Diluted,92
Dirty,48
Dried apricot,75
Dried dates,33
Dried figs,21
Dried fruit,749
Dry,394
Earthy,144
Elegant,44
Espresso,22
Ester,488
Eucalyptus,27
Fermented,67
Figs,20
Floral,283
Flowery,45
Fresh,229
Fruit schnapps,66
Fruitcake,19
Fruits,58
Fruity,912
Fudge,24
FullBodied,83
Funky,159
Furry,4
Ginger,87
Gingerbread,16
Glue,130
Grapefruit,43
Grapes,92
Grass,218
Green,30
Green apple,39
Green fruits,13
Green pepper,53
Hay,40
Hazelnut,41
Heavy,45
Herbal,270
Honey,426
Honeycomb,16
Hot,81
Intense,388
Iodine,51
Kiwi,7
Leather,428
Lemon,76
Licorice,363
Light,145
Lime,113
Litschi,15
Malt,27
Mandarin,15
Mango,158
Maple,38
Marmalade,20
Marzipan,80
Meaty,20
Medicinal,137
Melon,13
Menthol,91
Metallic,50
Mild,187
Milk chocolate,129
Mineral,81
Minty,208
Mirabelle plum,21
Mocha,70
Molasses,135
Musty,25
Nail polish,27
Nougat,51
Nutmeg,103
Nutty,284
Oak,627
Oily,159
Olive,102
Orange,160
OrangePeal,115
Overripe,151
Papaya,46
Passion fruit,39
Pastries,54
Peaches,78
Pear,107
Peat,51
Pecan,11
Peppery,579
Phenol,5
Pineapple,457
Platsic,15
Plum,81
Polish,17
Popcorn,7
Port,45
Praline,14
Prunes,151
Pungent,25
Raisin,307
Raspberry,20
Red fruits,112
Red pepper,12
Red wine,28
Roasted,700
Roasted almonds,32
Roasted nuts,35
Root,10
Rough,19
Round,181
Rubber,178
Salty,182
Sandalwood,8
Sharp,15
Sharpness,61
Sherry,102
Silky,22
Smoky,387
Smooth,31
Soap,22
Soft,82
Solvents,89
Sour,36
Sour cherry,38
Spice,782
Spicy,997
Strawberry,36
Strong,127
Sugar,126
Sugarcane,591
Supple,25
Sweet,1224
Synthetic,38
Syrupy,70
Tannins,73
Tar,168
Tea,69
Thick,21
Thin,107
Thyme,9
Toasted,142
Tobacco,290
Toffee,140
Treacle,15
Tropical fruit,811
Umami,9
Unknown,116
Vanilla,2055
Varnish,56
Vegetal,399
Velvety,36
Volatile,13
Walnut,24
Warm,149
Waxes,8
Whiskey,84
White chocolate,13
Wine,42
Woody,2408
Yeast,6
Yellow fruits,71
Young wood,172
